F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
3.8379,2.49,-164.836,819.07,11.011107,285.57,1,6435.62,-10954.02,0,-4.404,-0.46,12.278,10.0168,6.1254,-1323.92,7.8447,3396.38,846.37,1.7955,-8.58,False
6.1092,1.4024,-159.722,1152.59,11.34,1338.27,0,7454.56,-11473.62,0,-3.5118,-0.46,12.993,9.09498,6.807,1649.48,7.4097,3320.78,818.77,1.4163,-9.59,False
11.346,0.6688,-183.38,933.17,11.01035,619.89,1,7247.26,-11572.53,1,-4.938,-1.46,13.636,13.882,5.6918,-1583.02,12.519,3438.76,835.87,2.8488,,True
12.234,3.01,-159.3876,819.27,13.2465,-2453.43,0,7515.52,-11401.74,1,-3.1164,-1.46,16.2133,9.5826,5.8638,-2433.72,5.9655,3268.31,467.17,1.05534,,False
9.684,0.5488,-172.022,909.27,11.17989,817.59,1,7432.308,-11824.02,0,-3.0594,-0.46,5.03,10.0062,6.3504,-1867.52,10.914,3485.44,2537.07,7.818,-8.15,False
4.4052,0.8922,-171.822,415.17,12.5049,-1460.73,1,7428.054,-10456.02,0,-2.2338,-0.46,11.513,12.342,5.7604,-1463.8,6.8865,3517.04,-426.93,1.06428,,True
5.2239,0.8992,-172.258,1854.67,12.4959,3171.57,0,7425.734,-11739.12,0,-1.3077,-1.46,16.4378,11.48,5.4746,-1366.3,5.30625,3011.04,1109.07,0.9948,-7.89,False
9.789,1.7598,-158.607,1085.33,12.3669,863.577,0,7413.402,-11683.92,1,-13.65,-1.46,13.378,10.261,7.256,-1812.52,7.3971,3327.62,803.55,13.437,,False
12.756,2.648,-185.46,910.87,11.17674,847.959,0,7635.22,-11310.699,0,-5.784,-1.46,14.074,14.524,5.16136,-1430.42,6.5346,3624.14,993.47,9.864,,False
14.055,0.7876,-158.3234,479.47,11.5866,885.54,0,7620.28,-11116.71,1,-1.4031,-0.46,14.212,10.1276,5.5372,-858.12,6.3252,3291.46,-191.73,2.1951,-9.41,True
6.03,1.2392,-157.9614,849.77,11.4846,-1061.13,0,7432.028,-10466.52,0,-4.179,-1.46,8.585,9.3908,6.302,-60.72,7.6176,3242.34,370.77,0.9678,-11.27,True
9.237,1.2448,-185.64,1893.87,13.065,832.56,1,7465.32,-11430.42,0,-0.9141,-0.46,23.798,9.3332,7.504,-1799.92,5.6502,3184.14,15.47,2.8239,,True
6.2946,1.3396,-170.216,927.97,14.937,834.63,1,7358.48,-10818.72,1,-3.2883,-0.46,15.87,11.308,8.002,-1333.14,11.337,3308.66,379.57,5.703,,False
6.393,1.1286,-184.36,890.17,12.2352,-165.63,1,7462.7,-11940.12,1,-3.84,-1.46,19.445,10.9128,8.504,-1821.32,7.5192,3395.18,712.251,1.5729,-9.02,False
6.708,1.374,-166.254,985.69,11.751,839.49,0,7434.032,-12295.62,0,-2.2479,-0.46,16.078,9.3328,6.7892,-2704.12,5.27331,5673.64,1091.77,9.984,-8.99,False
3.7398,1.9302,-159.1022,1048.4,12.2478,823.56,1,7385.96,-14677.92,1,-10.515,-0.46,20.098,13.748,5.27846,-1543.924,7.2279,3550.14,439.77,3.84,-10.75,True
5.9727,2.474,-160.288,728.67,11.17113,603.75,0,7416.636,-11460.12,0,-3.6,-1.46,28.21,9.8058,6.8462,-1781.72,8.727,3410.9,604.67,4.17,,True
5.1717,3.006,-233.3,1654.27,11.3817,927.9,1,7443.47,-11576.16,0,-1.3425,-0.46,5.15,14.686,6.5282,-1501.22,7.5513,3291.38,551.57,4.449,-11.42,True
3.6867,1.8562,-170.266,1176.47,13.1163,861.492,1,7426.68,-21940.92,1,-7.818,-0.46,19.371,10.904,7.001,-1951.92,10.383,3338.51,740.9,2.421,,True
8.217,2.522,-190.62,1279.37,11.7375,916.29,1,7504.68,-11623.62,1,-2.0928,-1.46,16.5236,12.188,5.449,-1513.126,8.118,3476.84,492.87,5.622,,True
14.013,6.554,-165.902,1140.04,12.5571,882.282,1,7421.652,-11307.111,1,-1.5393,-0.46,4.17,11.716,6.0696,-1421.6,5.8431,3386.45,642.25,10.191,-8.11,False
4.8168,1.0286,-171.786,3136.97,11.18817,1478.67,0,7532.64,-12193.32,0,-0.88008,-1.46,22.007,10.434,7.498,-1157.12,5.4069,4983.64,681.74,1.8798,-7.82,False
7.737,1.116,-230.48,854.47,12.2217,853.803,0,7391.52,-10974.42,1,-2.6697,-1.46,18.429,9.3516,7.156,342.08,15.963,3344.64,826.47,1.9698,-9.06,False
7.521,4.448,-169.976,1099.66,11.13846,1017.69,0,7461.02,-11648.52,1,-7.785,-0.46,16.7127,11.77,5.381,-1365.12,6.0738,3569.54,897.27,3.993,-7.89,False
7.071,4.164,-207.92,1267.37,12.4938,5550.57,1,7734.42,-11250.15,0,-2.6508,-1.46,14.243,9.398,5.5924,615.48,8.79,3419.32,722.286,0.95154,-7.81,False
4.0932,1.6394,-160.562,420.37,11.014002,683.91,0,6840.62,-13882.32,0,-1.5231,-1.46,13.051,9.15164,7.426,-4508.52,12.204,3425.72,369.77,4.596,-9.09,True
5.1792,7.226,-204.08,599.37,13.9788,604.41,0,7365.72,-11673.12,0,-1.9614,-1.46,17.13576,11.214,8.164,-1567.26,5.33079,4636.64,641.75,2.7222,,True
8.355,1.9458,-174.428,1059.6151,13.6092,909.93,0,7466.28,-11679.12,0,-2.7873,-0.46,17.8875,12.608,5.25578,-1454.52,7.8648,3578.44,929.87,6.594,-10.72,False
10.734,0.994,-166.376,1101.61,13.326,814.56,0,7416.324,-11669.22,1,-3.771,-0.46,18.145,9.5108,5.8742,-2227.72,9.153,3497.84,-26.93,2.811,,True
6.774,0.6608,-176.08,919.67,19.038,69.27,1,7370.18,-11531.43,1,-3.867,-0.46,19.277,9.8936,5.4934,-1949.32,9.924,3341.25,-611.93,1.6683,,False
7.509,2.728,-168.464,600.27,11.28831,-3392.43,0,7458.28,-12209.82,1,-2.3328,-1.46,25.834,11.054,8.282,-2031.52,10.389,3436.85,874.67,1.05738,,True
9.42,0.37128,-164.026,1089.19,13.5864,1220.37,1,6801.42,-11396.49,1,-4.68,-1.46,18.736,17.782,5.3686,-1447.92,10.995,3503.14,-3859.93,2.5023,,True
4.3701,1.7128,-162.306,301.17,11.6613,282.27,0,7420.864,-14746.92,1,-1.9131,-0.46,16.98782,10.1534,5.64,-2413.12,6.147,3736.84,1047.57,2.9859,-8.7,False
4.1457,1.9234,-172.808,957.37,11.15019,293.07,1,7460.02,-9316.02,1,-7.416,-0.46,12.815,11.592,7.48,-1349.66,6.3177,3290.38,382.37,1.4178,,False
6.63,0.5564,-176.182,809.57,11.418,685.47,1,7431.7954,-11233.71,1,-2.5221,-0.46,16.335,13.152,5.17972,-1436.98,8.622,3481.54,-1266.93,1.4592,-9.69,True
10.332,1.5112,-197.36,1803.37,11.3451,1188.57,1,7402.18,-11386.8,1,-1.0305,-1.46,20.982,12.594,6.4436,-1417.14,12.51,3420.76,162.77,2.0673,,True
7.152,0.41012,-177.9,1032.03,11.10159,922.56,1,7482.32,-11189.1,0,-1.5393,-0.46,14.342,11.332,5.29726,-1376.22,9.213,3368.297,-4024.93,2.2344,,True
4.3119,0.719,-224.3,813.17,13.0224,798.39,1,7452.56,-12760.62,0,-2.9586,-0.46,16.4231,9.3264,5.30446,-2375.32,6.2661,3717.94,-239.73,9.096,,True
4.4925,4.236,-161.438,818.57,14.991,752.1,1,7452.6,-11526.99,0,-3.4422,-1.46,14.447,9.676,5.13577,-1324.32,7.3062,3516.84,660.68,4.362,-11.39,True
3.8709,1.292,-187.74,1060.134,11.04006,928.17,1,7436.892,-13480.02,1,-11.505,-0.46,16.3632,12.848,8,-1446.58,6.984,3617.54,710.02,4.647,-11,True
11.403,1.1528,-169.684,834.97,11.12034,527.07,1,7463.14,-11203.38,1,-4.248,-1.46,17.073134,11.594,6.0208,-1356.3,11.559,3437.98,0.97,1.7085,,True
6.546,5.628,-174.736,751.07,11.15193,338.97,1,7480.34,-11648.52,0,-4.323,-1.46,18.093,12.588,5.837,-1742.92,9.339,3428.86,533.07,3.3639,-10.05,True
7.035,1.7904,-186.64,968.85,12.2928,-731.13,1,7485.02,-11773.32,0,-3.888,-1.46,15.593,13.204,5.4592,-1607.46,14.595,3398.24,411.97,1.06479,,False
6.597,1.0818,-191.8,1074.46,15.12,987.45,1,7401.02,-11366.34,0,-3.6675,-0.46,10.859,12.164,7.3,-1418.48,6.6702,3531.74,-52.63,2.385,-9.42,True
11.301,4.446,-173.586,1211.87,15.363,843.816,1,7345.36,-11757.42,1,-1.3806,-0.46,9.63,9.1958,6.292,-3790.52,6.1287,4186.64,599.37,5.136,-9.46,False
5.0793,4.084,-165.966,909.87,12.0042,806.61,1,7404.2,-11707.62,1,-5.994,-1.46,26.248,10.5452,8.52,-1332.08,10.968,3495.34,726.319,5.448,-12.54,True
3.7863,2.466,-208.16,816.07,12.4734,1046.67,1,7470.32,-8713.02,1,-1.491,-0.46,16.5293,11.52,6.2546,-1254.12,5.7678,3348.18,555.67,1.6986,-7.88,False
4.7859,4.87,-160.136,1068.746,12.0537,971.55,1,5431.42,-11442.45,1,-8.808,-0.46,20.291,15.976,7.528,-1462.12,9.861,3449.86,574.47,3.87,-10.55,True
3.5511,0.6876,-162.624,976.94,11.010808,789.57,0,7415.964,-11561.76,0,-7.968,-0.46,19.215,12.732,7.912,-1390.18,8.925,3487.94,1127.67,1.9881,-9.36,False
9.903,4.03,-157.9824,759.47,15.075,-204.03,1,7479.58,-10946.52,1,-3.762,-1.46,17.2815,9.5264,6.7242,-416.92,8.607,3386.33,485.97,1.1739,-9.25,False
4.0308,1.1134,-159.69,1021.9,13.3404,816.39,0,7428.8568,-14119.62,0,-6.522,-1.46,16.7363,12.424,6.3936,-1548.24,18.351,3383.51,1390.37,4.695,-9.32,False
3.50649,2.438,-158.3982,791.17,13.0221,-1390.53,0,7478.54,-26716.92,1,-2.1663,-1.46,12.774,9.762,6.9622,-2787.12,5.4756,4324.94,409.37,1.1862,-9.59,True
9.315,4.118,-158.074,1052.253,11.9433,855.771,0,7407.9,-11776.92,0,-3.2967,-1.46,14.55,11.222,5.29926,-1626.42,5.29623,5469.64,779.73,7.887,,False
4.0263,1.7318,-170.252,1549.37,11.09991,-530.13,1,7427.772,-16282.92,0,-1.2498,-1.46,19.39,10.53,6.5042,-1950.72,8.166,3374.37,1009.47,0.97539,-10.18,True
3.6432,0.9128,-184,1129.47,12.0003,782.97,1,7366.58,-16789.92,1,-3.4866,-0.46,16.8971,10.1126,7.066,-2048.12,7.9398,3297.86,-329.93,5.259,-8.93,False
4.4595,0.5078,-222.58,1139.46,13.5024,1130.31,0,7377.98,-11924.22,0,-5.898,-0.46,14.294,13.032,6.7466,-1433.68,8.0361,3492.94,-2367.93,2.7288,-11.58,True
3.9927,1.169,-176.536,1089.94,14.874,412.17,1,7446.184,-15346.92,0,-9.831,-0.46,26.532,9.9328,6.2162,-2051.12,7.9002,3334.99,933.47,1.2372,-10.11,False
6.795,0.7518,-164.702,1165.97,13.2081,1278.87,1,7441.34,-11374.89,1,-4.872,-0.46,21.038,9.2976,8.524,819.48,8.529,3578.04,-1333.93,2.8227,,True
5.6076,0.37422,-169.542,1141.82,11.6589,1366.77,0,7501.22,-11794.92,1,-4.986,-0.46,18.929,10.4786,5.7672,-1134.72,9.717,3534.24,-3368.93,2.2008,,True
6.1956,1.8042,-167.132,785.47,11.017395,852.696,1,7164.62,-11389.83,1,-3.1617,-1.46,25.085,9.828,5.5776,-990.32,13.605,3425.74,870.07,10.569,-11.93,True
3.6462,2.828,-159.75,1101.6,11.6232,861.852,0,7445.496,-19501.92,1,-7.071,-0.46,16.8191,11.532,5.2457,-1686.56,5.5713,4324.54,472.87,6.201,-9.63,True
5.6694,0.75,-199.24,1082.62,13.2369,337.77,1,7468.36,-12253.62,1,-6.96,-0.46,18.308,16.284,5.5226,-1587.28,12.501,3394.3,-602.93,1.2114,-10.86,True
3.6279,2.2376,-185.6,1061.071,11.1735,1102.92,1,7516.8,-12688.92,0,-5.724,-1.46,24.352,10.4414,5.4512,-1304.92,12.633,3405.77,479.27,1.5051,-10.69,True
8.901,0.6088,-171.48,820.37,11.022951,270.27,0,7438.504,-11888.22,1,-2.6334,-1.46,15.416,10.1896,6.669,-2085.92,6.5223,3707.94,1182.07,1.9818,,True
4.0392,1.3136,-170.05,1100.72,12.8442,722.52,0,7463.5,-14221.62,1,-5.562,-0.46,17.8114,12.574,6.1086,-1623.72,5.26926,4403.64,170.57,1.6443,,True
4.6176,0.6826,-174.25,1309.87,11.06232,1073.76,0,7458.66,-11815.62,1,-1.8063,-1.46,16.8814,14.428,5.9238,-1510.342,8.667,3372.374,-933.93,1.4703,,False
4.7829,6.188,-197.38,763.77,17.871,-389.73,1,11650.22,-11305.597,1,-2.4927,-0.46,18.184,11.848,5.6044,-1533.028,8.448,3287.47,727.042,1.2306,-10.21,False
3.4932,1.3838,-173.418,1213.87,14.541,1138.5,0,7417.572,-24211.92,0,-2.4984,-1.46,19.504,15.026,6.6098,-1538.368,5.8746,3992.84,589.97,1.4856,-9.9,False
4.9881,1.3666,-166.136,-3684.03,11.478,678.84,0,7386,-12121.32,1,-0.8784,-1.46,16.7834,12.096,5.986,-1715.54,10.29,3301.85,1266.37,6.915,-9.48,False
3.58017,1.0806,-171.714,1132.95,12.2211,894.618,0,7404.58,-9855.12,0,-5.073,-0.46,11.876,11.534,6.5446,-1395.54,5.7216,3028.34,-183.43,11.406,-10.09,True
3.627,0.5928,-161.452,1118.61,11.09559,918.99,0,7405.2,-14842.92,0,-1.8186,-1.46,13.823,12.176,5.4062,-1465.56,5.6478,3861.14,371.57,3.6765,,False
8.841,3.41,-158.9698,846.37,12.5595,88.77,1,7460.76,-11302.989,1,-3.4158,-1.46,14.279,13.766,6.4026,-1494.4,6.5256,3292.54,804.84,1.3548,,False
6.891,5.074,-209.8,809.07,11.12226,650.58,1,7373.74,-11509.71,0,-3.81,-0.46,15.78,9.9542,8.526,-1945.92,7.1184,3400.06,615.17,4.995,-9.51,True
4.9251,0.40884,-171.342,805.67,11.7126,547.77,1,7430.321,-11358.66,0,-3.2829,-1.46,19.075,9.4422,6.0386,-1250.32,7.4118,3346.4,2542.07,2.346,,False
6.2481,7.36,-180.12,862.07,11.3655,707.52,1,7430.2768,-11463.45,0,-4.038,-1.46,13.966,10.039,9.328,-1623.66,10.017,3426.59,634.91,4.428,-9.12,True
10.758,1.4794,-168.272,506.47,11.586,471.87,0,5763.62,-11329.857,0,-2.2926,-1.46,15.706,10.3198,5.3388,-1605.12,8.679,3395.49,552.07,2.778,-10.75,True
5.1489,1.7526,-202.56,-1002.03,11.10837,711.78,0,8611.02,-10833.42,0,-0.9987,-1.46,18.0044,10.7758,6.0092,-1398.3,7.2399,3351.26,372.47,3.6558,,True
4.4469,4.064,-158.0612,1225.77,14.427,882.813,0,7449.03,-13352.52,0,-3.1299,-1.46,13.38,9.6006,5.31702,-2003.32,5.9604,3698.84,547.87,6.45,,True
3.813,3.992,-176.85,1302.07,11.019402,862.971,1,7429.8664,-15100.92,1,-2.8719,-0.46,22.692,10.3944,7.438,-1857.52,6.8958,3231.44,544.47,11.88,,False
5.7837,1.4478,-177.188,1110.45,18.504,728.31,1,7479.48,-12999.72,0,-1.8369,-1.46,20.238,11.57,7.712,-1912.72,5.7549,4267.34,115.97,4.548,,True
5.7966,5.152,-171.874,1082.4,12.3213,129.57,1,7428.9488,-12010.02,1,-10.314,-0.46,17.08028,12.434,5.27208,-1657.88,9.549,3337.1,594.17,1.14,,False
5.8071,3.322,-159.5464,500.57,11.925,808.56,0,7626.36,-11047.02,1,-2.1207,-1.46,21.017,9.5996,7.622,-980.72,5.3508,4464.64,569.67,7.485,-10.53,True
5.7564,1.3436,-159.6498,982.31,11.25405,532.77,0,7572.54,-11156.16,0,-10.362,-0.46,21.777,9.2638,5.6848,-779.92,6.1137,3588.54,355.27,2.1798,-9.22,True
3.9963,0.6386,-169.168,1038.06,11.6982,815.55,0,7499.04,-15310.92,1,-3.75,-0.46,16.4257,9.9888,6.236,-2253.52,7.8603,3443.41,-681.93,10.977,,True
7.32,1.9456,-182.26,913.87,11.9193,876.375,0,7152.82,-10691.52,1,-2.8611,-1.46,9.555,12.852,6.4654,-1331.14,5.8446,2944.84,330.07,3.915,-9.57,False
4.5753,0.36918,-200.1,1079.94,11.4915,625.11,0,7566.6,-13843.92,1,-6.825,-0.46,11.603,11.54,5.18092,-1760.12,5.8107,4088.74,-4860.93,1.8216,-9.32,True
12.978,0.6452,-182.32,724.87,11.6889,596.4,1,7430.4576,-11191.74,1,-2.1861,-1.46,20.266,11.162,6.8854,-1374.5,7.098,3364.615,-1152.93,1.8564,-8.86,False
5.5152,2.0158,-164.198,-43.03,12.06,719.01,0,7342.44,-12159.72,1,-1.4124,-1.46,17.8124,11.354,6.4686,-1776.32,6.3975,3788.44,310.97,6.948,,True
3.6216,3.122,-168.604,1497.37,11.06877,782.22,1,7307.08,-22687.92,0,-1.7634,-0.46,15.34,17.02,7.572,-1625.88,7.3281,3325.32,737.53,3.7452,-8.53,False
3.47067,2.512,-170.148,857.67,11.7231,832.89,1,7362.54,-10012.02,1,-2.9649,-0.46,8.578,9.9354,6.6676,-1129.92,7.7904,3370.723,815.53,5.883,,True
5.9523,0.6774,-185.88,1377.27,11.05623,1011.72,0,7383.54,-11603.22,1,-1.8609,-0.46,20.113,9.6714,5.19948,-1111.92,8.418,3305.5,1345.57,2.9919,,False
3.51081,1.0214,-160.994,1465.37,11.6826,1188.57,1,7477.74,-17809.92,1,-1.5786,-1.46,20.698,11.174,5.5102,-1298.72,6.6381,3567.14,1317.27,2.583,,True
4.4826,1.0464,-192.68,1054.154,12.483,926.61,1,7373.64,-12414.72,1,-3.1578,-0.46,19.438,11.53,9.308,-1438.88,9.357,3491.94,404.17,3.6,-11.03,True
6.3,0.691,-162.246,666.07,14.427,291.87,1,7391.42,-11118.45,0,-2.8191,-1.46,27.76,10.2874,8.986,-1266.92,12.618,3369.975,1261.47,1.62,-9.64,False
6.924,2.702,-298.32,1137.91,11.11959,748.74,1,7458.02,-11683.02,0,-3.1812,-1.46,20.736,10.9618,7.81,-1655.36,8.526,3349.78,475.87,1.9926,,False
7.296,1.038,-180.34,1132.26,11.010193,1042.35,0,7327.88,-12037.92,0,-4.953,-0.46,14.382,9.8246,5.24156,-1837.52,7.0764,3568.04,685.09,1.2084,,False
7.884,1.0456,-167.854,976.42,18.27,763.05,0,7396.86,-11809.92,0,-2.7864,-0.46,26.44,9.922,5.1211838,-2349.32,10.881,3373.35,-120.53,7.422,-10.23,True
4.3542,1.1046,-179.84,679.37,13.1352,792.03,1,7443.214,-10409.82,1,-3.0981,-1.46,16.7484,9.1285,6.4736,1503.48,5.21025,3841.54,934.07,6.786,-7.45,False
5.7048,1.5642,-164.98,1102.12,16.608,849.228,0,14864.22,-11677.62,1,-10.197,-1.46,13.608,14.478,6.264,-1555.76,6.6363,3157.74,249.57,0.96801,-10.03,False
5.2992,0.561,-173.248,947.87,11.12922,812.88,1,7420.9,-11798.52,0,-6.423,-0.46,14.119,10.0738,8.624,-1777.32,8.217,3336.28,1416.07,13.797,-9.48,False
5.5701,0.818,-161.21,1146.65,11.7711,887.925,1,7585.16,-11166.21,0,-2.3757,-1.46,12.14,11.084,6.5108,-1414.54,6.2673,3201.44,-551.93,5.025,-9.85,False
3.7209,0.8444,-225.02,828.67,14.061,597,0,7185.22,-14134.02,1,-4.227,-0.46,14.363,9.1024,5.68,-1540.396,6.495,3914.94,207.87,2.6517,-9.13,False
7.902,1.5956,-238.68,713.87,11.18001,-4064.43,0,7401.82,-11427.21,1,-3.183,-1.46,28.38,11.194,6.6718,-1719.18,5.8233,3413.17,307.67,0.98454,,False
3.8547,0.4748,-191.28,1329.07,11.14776,879.033,1,7414.964,-16096.92,1,-2.6583,-0.46,19.487,10.5778,5.4304,-1737.32,6.2067,3265.03,1590.47,8.424,,False
3.7878,0.7828,-164.346,916.87,11.010937,845.046,0,7293.8,-14713.92,0,-2.7249,-1.46,16.3082,9.388,6.5678,-1122.12,6.4191,3709.44,1700.67,3.5571,,False
4.4946,1.2974,-164.31,2369.97,11.8509,948.84,1,7386.66,-12211.92,1,-1.1382,-0.46,12.597,11.116,8.2,-1280.12,8.0271,3584.64,4.17,10.899,-8.93,True
5.2185,1.8126,-167.972,252.27,11.3142,658.32,1,7414.468,-12007.62,1,-1.5924,-0.46,21.526,9.12064,6.0462,-3776.52,5.27235,5812.64,307.87,4.146,-9.66,True
6.429,3.742,-182.28,-1190.03,15.954,768,1,7425.132,-11567.13,0,-0.98868,-1.46,11.272,12.486,10.252,-1677.32,7.0287,3340.8,530.57,10.125,-9.23,False
5.6814,0.5718,-166.114,750.97,11.12388,-558.33,1,7391.68,-11555.49,1,-3.1551,-1.46,16.9658,10.501,5.9404,-1699.02,6.5457,3169.64,2011.07,1.3944,,False
14.28,5.162,-162.194,701.77,12.0603,1000.11,1,7492.86,-11246.85,0,-1.6791,-1.46,25.759,9.72,5.5888,-709.92,12.873,3436.04,555.87,1.7088,-10.59,True
11.394,1.4932,-192.98,1067.431,11.021313,1024.71,1,7385.36,-11270.04,0,-2.2431,-1.46,14.068,12.16,8.852,-1363.26,5.4585,4310.14,27.87,2.673,-11.14,True
4.0149,2.454,-162.528,550.97,11.9934,472.77,1,7110.22,-7780.92,1,-3.0726,-1.46,22.264,10.9698,6.089,-1231.32,8.481,3418.75,308.67,2.3451,,False
3.57564,0.841,-178,1042.73,11.23488,799.17,1,7402.78,-25510.92,0,-3.0045,-0.46,3.15,9.1398,5.6172,-6684.52,5.8101,4301.74,-264.73,7.419,-9.44,True
3.7614,0.5646,-157.73198,1070.65,17.052,1302.57,0,7723.22,-11883.72,0,-4.368,-0.46,21.482,9.7514,8.076,-1050.32,7.6437,3325.38,1396.97,1.1046,,False
7.875,6.054,-165.716,1084.39,11.0607,1208.37,0,7414.278,-11429.55,0,-9.93,-1.46,15.193,15.634,8.438,-1414.2,7.5294,3718.64,616.17,2.9385,,True
3.6942,1.832,-172.124,1060.701,12.4998,1009.59,0,7406.92,-9453.72,1,-3.5664,-1.46,14.164,10.7438,6.889,-1072.92,5.532,3538.34,727.72,3.7677,,False
4.0197,3.102,-162.068,161.07,11.4999,621.6,0,7442.168,-12570.42,0,-1.2963,-1.46,25.686,9.17168,5.6332,-4554.52,14.16,3349.94,455.27,4.467,-8.96,True
9.6,1.6342,-182.24,-258.03,11.05032,722.94,0,7340.38,-11143.89,0,-1.1775,-0.46,17.3033,13.258,6.2454,-1415.36,6.4899,3314.08,784.08,2.7942,-8.39,False
4.2612,0.6522,-158.479,1044.47,11.11413,810.81,0,7454.64,-14167.02,0,-6.348,-0.46,12.166,10.8494,5.7952,-1608.36,5.4795,4840.64,1204.07,2.1675,,False
7.794,7.078,-172.344,-620.03,11.11458,6.27,0,7408.28,-11132.88,1,-1.2372,-1.46,15.004,9.1942,8.08,519.48,5.9526,3494.94,761.02,1.3221,,False
5.6763,3.816,-168.464,1075.57,13.0023,782.64,0,7444.99,-12626.22,1,-4.305,-0.46,21.572,11.664,5.7134,-1666.84,5.9838,3776.54,806.47,2.7798,-9.49,False
3.9972,0.806,-172.226,827.37,12.1944,768.21,0,7376.82,-14590.92,0,-3.4581,-1.46,18.274,9.9712,7.39,-2008.92,8.775,3454.12,1140.87,8.307,-9.06,False
3.9972,1.0444,-163.49,1219.47,11.4189,898.482,1,7434.796,-14677.92,0,-3.744,-1.46,25.189,9.5426,12.202,-2043.12,5.5275,3095.54,819.09,2.6985,-8.49,False
5.8557,0.38736,-165.732,1833.37,12.1257,1049.1,1,7384.1,-11568.15,1,-1.7946,-0.46,14.914,12.93,6.318,-1285.52,5.5359,4318.84,211.87,7.674,-11.02,True
5.2359,0.5664,-161.242,629.57,11.16378,765.06,1,7418.492,-10585.92,0,-2.7108,-1.46,23.866,9.5772,5.4082,-976.52,5.22702,3769.34,-1463.93,5.976,-7.65,False
3.993,1.7686,-197.74,821.67,12.2418,159.57,0,7317.48,-15499.92,1,-3.2124,-1.46,8.111,11.23,5.1537,-1902.72,6.0585,3914.54,335.67,2.106,-10.1,True
3.8778,1.192,-182,991.7,11.019864,823.92,1,7273.3,-11157.54,1,-3.759,-0.46,10.727,9.7926,5.25858,-1283.92,12.99,3370.077,121.27,3.786,,True
5.2101,3.352,-237.16,1168.97,11.5659,889.254,0,7758.02,-11842.92,0,-2.8461,-1.46,9.851,9.971,5.3126,-1541.096,6.2349,3392.78,548.07,3.6012,,True
